text,updateDt,video_id,remove_emoji,source,translated,remove_stopword,lemmatization
"Seungri is a kpop ""group"" himself",2018-09-24 00:00:00+00:00,Jyhy6lnVwyA,"Seungri is a kpop ""group"" himself",en,"Seungri is a kpop ""group"" himself",Seungri kpop `` group '',seungri kpop ` ` group ''
which episode is this,2018-07-31 00:00:00+00:00,Qo55vEgzvgI,which episode is this,en,which episode is this,episode,episode
"My mother does not like K-Pop, but she compliments this song well 😚😚😚",2018-08-04 00:00:00+00:00,Q7sHwg2Z21U,"My mother does not like K-Pop, but she compliments this song well ",en,"My mother does not like K-Pop, but she compliments this song well ","My mother like K-Pop , compliments song well","my mother like k - Pop , compliment song well"
SOS UN CAPO SEUNGRY.,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,SOS UN CAPO SEUNGRY.,en,SOS UN CAPO SEUNGRY.,SOS UN CAPO SEUNGRY .,SOS UN CAPO SEUNGRY .
Damn loving it 😍😍🔥🔥🎶🎵🎶 #Thegreatseungri team 최고 👏👏,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Damn loving it  #Thegreatseungri team 최고 ,en,Damn loving it  #Thegreatseungri team 최고 ,Damn loving # Thegreatseungri team 최고,damn love # thegreatseungri team 최고
"BP's let's stream more for our blackpinks 5th member Seungri deserves ittt!!!!he supported and guided blackpink so its time for us to bring it back what he really deserves long time ago...
BP's<3
VIP's<3
FIGHTING!!!",2018-07-21 00:00:00+00:00,Q7sHwg2Z21U,"BP's let's stream more for our blackpinks 5th member Seungri deserves ittt!!!!he supported and guided blackpink so its time for us to bring it back what he really deserves long time ago...
BP's<3
VIP's<3
FIGHTING!!!",en,"BP's let's stream more for our blackpinks 5th member Seungri deserves ittt!!!!he supported and guided blackpink so its time for us to bring it back what he really deserves long time ago...
BP's<3
VIP's<3
FIGHTING!!!",BP 's let 's stream blackpinks 5th member Seungri deserves ittt ! ! ! ! supported guided blackpink time us bring back really deserves long time ago ... BP 's < 3 VIP 's < 3 FIGHTING ! ! !,BP 's let us stream blackpink 5th member Seungri deserve ittt ! ! ! ! support guide blackpink time we bring back really deserve long time ago ... BP 's < 3 VIP 's < 3 fighting ! ! !
"This guy is so charismatic and talented and pretty damm hilarious😂😂. ""Yigjja unit are you watching""😂😂.",2018-09-04 00:00:00+00:00,Jyhy6lnVwyA,"This guy is so charismatic and talented and pretty damm hilarious. ""Yigjja unit are you watching"".",en,"This guy is so charismatic and talented and pretty damm hilarious. ""Yigjja unit are you watching"".",This guy charismatic talented pretty damm hilarious . `` Yigjja unit watching '' .,this guy charismatic talented pretty damm hilarious . ` ` yigjja unit watch '' .
*You are my everything 🐼*,2018-07-20 00:00:00+00:00,Q7sHwg2Z21U,*You are my everything *,en,*You are my everything *,* You everything *,* you everything *
After this show Seungri will be on the 7th floor 😆😆 being punished for doing something like this on tv,2019-01-05 00:00:00+00:00,YZqxolXNC2k,After this show Seungri will be on the 7th floor  being punished for doing something like this on tv,en,After this show Seungri will be on the 7th floor  being punished for doing something like this on tv,After show Seungri 7th floor punished something like tv,after show seungri 7th floor punish something like tv
사랑해요,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,사랑해요,ko,About Us,About Us,about we
Who still remember seungri action in 3:23 - 3:26 at mama 2013 😂 😂 😂. When he watched hyesung kiss hyuna (troublemaker). In that time whole arena laugh... 😂 😂,2018-07-22 00:00:00+00:00,MtW75y4kEfY,Who still remember seungri action in 3:23 - 3:26 at mama 2013   . When he watched hyesung kiss hyuna (troublemaker). In that time whole arena laugh...  ,en,Who still remember seungri action in 3:23 - 3:26 at mama 2013   . When he watched hyesung kiss hyuna (troublemaker). In that time whole arena laugh...  .,Who still remember seungri action 3:23 - 3:26 mama 2013 . When watched hyesung kiss hyuna ( troublemaker ) . In time whole arena laugh ... .,who still remember seungri action 3:23 - 3:26 mama 2013 . when watch hyesung kiss hyuna ( troublemaker ) . in time whole arena laugh ... .
Who is in the bathroom,2018-06-17 00:00:00+00:00,Qo55vEgzvgI,Who is in the bathroom,en,Who is in the bathroom,Who bathroom,who bathroom
Yooooo is this whole building his company yuri holdings? O.O or is it just like a floor?,2018-03-21 00:00:00+00:00,AZk7RBpeaHM,Yooooo is this whole building his company yuri holdings? O.O or is it just like a floor?,en,Yooooo is this whole building his company yuri holdings? O.O or is it just like a floor?,Yooooo whole building company yuri holdings ? O.O like floor ?,Yooooo whole building company yuri holding ? o.o like floor ?
MALAYSIA!!!,2018-03-12 00:00:00+00:00,AZk7RBpeaHM,MALAYSIA!!!,hu,HOME!,HOME !,home !
He was expecting her to know about big bang  😂,2018-07-29 00:00:00+00:00,hii0tpk8Dss,He was expecting her to know about big bang  ,en,He was expecting her to know about big bang  ,He expecting know big bang,he expect know big bang
Seungri is so handsome!!!,2018-07-31 00:00:00+00:00,m2MtOeuCgh8,Seungri is so handsome!!!,en,Seungri is so handsome!!!,Seungri handsome ! ! !,seungri handsome ! ! !
This video should have more viewers and likes.,2018-08-22 00:00:00+00:00,Q7sHwg2Z21U,This video should have more viewers and likes.,en,This video should have more viewers and likes.,This video viewers likes .,this video viewer like .
This is like Gdragon in states.  They don't know kpop but they know gdragon.,2018-06-04 00:00:00+00:00,hii0tpk8Dss,This is like Gdragon in states.  They don't know kpop but they know gdragon.,en,This is like Gdragon in states.  They don't know kpop but they know gdragon.,This like Gdragon states . They n't know kpop know gdragon .,this like Gdragon state . they not know kpop know gdragon .
승리오빠 자신감 하나는 최고다ㅋㅋㅋ 컴백 기념으로 화이팅!!!!!!,2018-07-22 00:00:00+00:00,MtW75y4kEfY,승리오빠 자신감 하나는 최고다ㅋㅋㅋ 컴백 기념으로 화이팅!!!!!!,ko,WINDOWS WINDOWS WINDOWS !!! !!!,WINDOWS WINDOWS WINDOWS ! ! ! ! ! !,windows WINDOWS WINDOWS ! ! ! ! ! !
Prom in Vietnamese,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Prom in Vietnamese,en,Prom in Vietnamese,Prom Vietnamese,Prom Vietnamese
THIS SONG IS SO HILARIOUS !! SEUNGRI IS SO FUNNY I LOVE HIM,2018-08-05 00:00:00+00:00,m2MtOeuCgh8,THIS SONG IS SO HILARIOUS !! SEUNGRI IS SO FUNNY I LOVE HIM,de,THIS SONG IS SO HILARIOUS!! SEUNGRI IS SO FUNNY I LOVE HIM,THIS SONG IS SO HILARIOUS ! ! SEUNGRI IS SO FUNNY I LOVE HIM,this song be so HILARIOUS ! ! SEUNGRI be so funny I love HIM
노래 중독성 쩔어,2018-07-22 00:00:00+00:00,MtW75y4kEfY,노래 중독성 쩔어,ko,Music,Music,music
Mukhang pilipino ung babae,2018-05-31 00:00:00+00:00,hii0tpk8Dss,Mukhang pilipino ung babae,tl,Looks like a dressy female,Looks like dressy female,look like dressy female
2,2018-07-29 00:00:00+00:00,j0N2GJUkE6Y,2,en,2,2,2
boi ur voice is so unique & beautiful,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,boi ur voice is so unique & beautiful,fr,boi ur voice is so unique & beautiful,boi ur voice unique & beautiful,boi ur voice unique & beautiful
2:58 fifth and sixth members of BLACKPINK,2018-07-28 00:00:00+00:00,m2MtOeuCgh8,2:58 fifth and sixth members of BLACKPINK,en,2:58 fifth and sixth members of BLACKPINK,2:58 fifth sixth members BLACKPINK,2:58 fifth sixth member BLACKPINK
1:52 HMMMM I wonder what Jennie meant by that lol. It was underneath our noses this whole time and we never noticed,2019-01-04 00:00:00+00:00,YZqxolXNC2k,1:52 HMMMM I wonder what Jennie meant by that lol. It was underneath our noses this whole time and we never noticed,en,1:52 HMMMM I wonder what Jennie meant by that lol. It was underneath our noses this whole time and we never noticed,1:52 HMMMM I wonder Jennie meant lol . It underneath noses whole time never noticed,1:52 HMMMM I wonder Jennie mean lol . it underneath nose whole time never notice
13 years of my career were meaningless  hahahahahahahahahahahahahaha,2018-08-07 00:00:00+00:00,hii0tpk8Dss,13 years of my career were meaningless  hahahahahahahahahahahahahaha,en,13 years of my career were meaningless  hahahahahahahahahahahahahaha,13 years career meaningless hahahahahahahahahahahahahaha,13 year career meaningless hahahahahahahahahahahahahaha
"Thank you for uploading this video.
I'm fun now.
I'm sorry.",2018-07-31 00:00:00+00:00,-ODTMpRFS5A,"Thank you for uploading this video.
I'm fun now.
I'm sorry.",en,"Thank you for uploading this video.
I'm fun now.
I'm sorry.",Thank uploading video . I 'm fun . I 'm sorry .,thank upload video . I ' m fun . I ' m sorry .
Wow! So handsome. ♥♥♥,2018-07-21 00:00:00+00:00,Q7sHwg2Z21U,Wow! So handsome. ,en,Wow! So handsome. .,Wow ! So handsome . .,wow ! so handsome . .
"Although I am a fan of the Super Junior teams, I love BiGBang and encourage them to make myself Fan  for them. They are really wonderful. I really miss them. I hope they return with good health👑🙏✌🏻💙🌹🧡",2018-07-22 00:00:00+00:00,Q7sHwg2Z21U,"Although I am a fan of the Super Junior teams, I love BiGBang and encourage them to make myself Fan  for them. They are really wonderful. I really miss them. I hope they return with good health",en,"Although I am a fan of the Super Junior teams, I love BiGBang and encourage them to make myself Fan  for them. They are really wonderful. I really miss them. I hope they return with good health","Although I fan Super Junior teams , I love BiGBang encourage make Fan . They really wonderful . I really miss . I hope return good health","although I fan Super Junior team , I love BiGBang encourage make Fan . they really wonderful . I really miss . I hope return good health"
Please gib English subtitles,2018-08-01 00:00:00+00:00,-ODTMpRFS5A,Please gib English subtitles,en,Please gib English subtitles,Please gib English subtitles,please gib english subtitle
"VIPs always remember that our era is all about SALES and LIVE PERFORMANCES and not some fancy amount of views. Same goes for all 2nd Gen groups. Most VIPs are in college or working right now, some even have families already. So never worry about views. Just enjoy the music. Buy it! Though I'm still a student in college, I can only stream. Let's all wait for our King's arrival. BIGBANG FIGHTING!",2018-07-21 00:00:00+00:00,Q7sHwg2Z21U,"VIPs always remember that our era is all about SALES and LIVE PERFORMANCES and not some fancy amount of views. Same goes for all 2nd Gen groups. Most VIPs are in college or working right now, some even have families already. So never worry about views. Just enjoy the music. Buy it! Though I'm still a student in college, I can only stream. Let's all wait for our King's arrival. BIGBANG FIGHTING!",en,"VIPs always remember that our era is all about SALES and LIVE PERFORMANCES and not some fancy amount of views. Same goes for all 2nd Gen groups. Most VIPs are in college or working right now, some even have families already. So never worry about views. Just enjoy the music. Buy it! Though I'm still a student in college, I can only stream. Let's all wait for our King's arrival. BIGBANG FIGHTING!","VIPs always remember era SALES LIVE PERFORMANCES fancy amount views . Same goes 2nd Gen groups . Most VIPs college working right , even families already . So never worry views . Just enjoy music . Buy ! Though I 'm still student college , I stream . Let 's wait King 's arrival . BIGBANG FIGHTING !","vip always remember era SALES LIVE PERFORMANCES fancy amount view . same go 2nd Gen group . Most vip college work right , even family already . so never worry view . just enjoy music . buy ! though I ' m still student college , I stream . let us wait King 's arrival . bigbang fighting !"
Im so proud of seungri. 😁❤,2018-06-13 00:00:00+00:00,AZk7RBpeaHM,Im so proud of seungri. ,en,Im so proud of seungri. .,Im proud seungri . .,I m proud seungri . .
AAAAH,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,AAAAH,tl,AAAAH,AAAAH,AAAAH
Lau r k thấy a bongxox vs a j máy hay cười ấy.hom này a reac bài nào.r mới hai anh đi a nhan,2018-11-17 00:00:00+00:00,ovL8KC_tCQ0,Lau r k thấy a bongxox vs a j máy hay cười ấy.hom này a reac bài nào.r mới hai anh đi a nhan,en,Lau r k thấy a bongxox vs a j máy hay cười ấy.hom này a reac bài nào.r mới hai anh đi a nhan,Lau r k thấy bongxox vs j máy hay cười ấy.hom này reac bài nào.r mới hai anh đi nhan,Lau r k thấy bongxox vs j máy hay cười ấy.hom này reac bài nào.r mới hai anh đi nhan
Black panther,2018-10-16 00:00:00+00:00,Qo55vEgzvgI,Black panther,en,Black panther,Black panther,black panther
"I think this was his best live performance of this so far. Better suit style too, A fashionable suit and loose tie suits him better than the formals with bow ties, IMO. He seemed more relaxed and to be enjoying the choreo more here too. Excellent job!",2018-07-29 00:00:00+00:00,j0N2GJUkE6Y,"I think this was his best live performance of this so far. Better suit style too, A fashionable suit and loose tie suits him better than the formals with bow ties, IMO. He seemed more relaxed and to be enjoying the choreo more here too. Excellent job!",en,"I think this was his best live performance of this so far. Better suit style too, A fashionable suit and loose tie suits him better than the formals with bow ties, IMO. He seemed more relaxed and to be enjoying the choreo more here too. Excellent job!","I think best live performance far . Better suit style , A fashionable suit loose tie suits better formals bow ties , IMO . He seemed relaxed enjoying choreo . Excellent job !","I think good live performance far . well suit style , a fashionable suit loose tie suit well formal bow tie , imo . he seem relaxed enjoy choreo . excellent job !"
Wow 35 branches and have 200 employess..daebak he is amazing..even that he is so busy he can manage to have business.. 👏👏👏,2018-09-07 00:00:00+00:00,AZk7RBpeaHM,Wow 35 branches and have 200 employess..daebak he is amazing..even that he is so busy he can manage to have business.. ,en,Wow 35 branches and have 200 employess..daebak he is amazing..even that he is so busy he can manage to have business.. .,Wow 35 branches 200 employess .. daebak amazing .. even busy manage business .. .,wow 35 branch 200 employess .. daebak amazing .. even busy manage business .. .
I bet Mr.Yang is watching this😂 thinking that 'I should not trust him' 😂 I'm sorry,2019-01-02 00:00:00+00:00,YZqxolXNC2k,I bet Mr.Yang is watching this thinking that 'I should not trust him'  I'm sorry,en,I bet Mr.Yang is watching this thinking that 'I should not trust him'  I'm sorry,I bet Mr.Yang watching thinking ' I trust ' I 'm sorry,I bet Mr. Yang watching think ' I trust ' I ' m sorry
suju 4ever,2018-12-30 00:00:00+00:00,hii0tpk8Dss,suju 4ever,en,suju 4ever,suju 4ever,suju 4ever
So funny🤣,2018-12-29 00:00:00+00:00,hii0tpk8Dss,So funny,en,So funny,So funny,so funny
Love!Sung Ri & MINO,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Love!Sung Ri & MINO,en,Love!Sung Ri & MINO,Love ! Sung Ri & MINO,love ! Sung Ri & MINO
무대 멋지다 ... 와,2018-07-22 00:00:00+00:00,MtW75y4kEfY,무대 멋지다 ... 와,ko,Stage cool... About Us,Stage cool ... About Us,stage cool ... about we
I WAS SO DAMN SHOOKETH WHEN THE 'AMERICANS' SPOKE KOREAN 0_o,2018-08-01 00:00:00+00:00,-ODTMpRFS5A,I WAS SO DAMN SHOOKETH WHEN THE 'AMERICANS' SPOKE KOREAN 0_o,en,I WAS SO DAMN SHOOKETH WHEN THE 'AMERICANS' SPOKE KOREAN 0_o,I WAS SO DAMN SHOOKETH WHEN THE 'AMERICANS ' SPOKE KOREAN 0_o,I be so DAMN shooketh when the ' AMERICANS ' spoke KOREAN 0_o
Mino looks soooo extra hot in this music video.,2018-08-09 00:00:00+00:00,m2MtOeuCgh8,Mino looks soooo extra hot in this music video.,en,Mino looks soooo extra hot in this music video.,Mino looks soooo extra hot music video .,Mino look soooo extra hot music video .
Lisa 😂💜🤘🤘,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Lisa ,en,Lisa ,Lisa,Lisa
no entiendo madres,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,no entiendo madres,es,i don't understand mothers,n't understand mothers,not understand mother
Its because GD is not with him lol,2018-06-05 00:00:00+00:00,hii0tpk8Dss,Its because GD is not with him lol,en,Its because GD is not with him lol,Its GD lol,its GD lol
"Indonesian VIPs are missing Bigbang so much bcoz they rarely visit us but Seungri is lowkey often come here alone for private reasons. So when will he open one aori ramen here? We would like to try the ramen, but make them halal please keke",2018-06-02 00:00:00+00:00,hii0tpk8Dss,"Indonesian VIPs are missing Bigbang so much bcoz they rarely visit us but Seungri is lowkey often come here alone for private reasons. So when will he open one aori ramen here? We would like to try the ramen, but make them halal please keke",en,"Indonesian VIPs are missing Bigbang so much bcoz they rarely visit us but Seungri is lowkey often come here alone for private reasons. So when will he open one aori ramen here? We would like to try the ramen, but make them halal please keke","Indonesian VIPs missing Bigbang much bcoz rarely visit us Seungri lowkey often come alone private reasons . So open one aori ramen ? We would like try ramen , make halal please keke","indonesian vip miss Bigbang much bcoz rarely visit we Seungri lowkey often come alone private reason . so open one aori raman ? we would like try raman , make halal please keke"
Why did I feel like there was a second person 0:28,2019-01-25 00:00:00+00:00,Qo55vEgzvgI,Why did I feel like there was a second person 0:28,en,Why did I feel like there was a second person 0:28,Why I feel like second person 0:28,why I feel like second person 0:28
MINO 😍,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,MINO ,pt,MINO,MINO,MINO
Hahah wow suju is very popular overseas,2018-06-02 00:00:00+00:00,hii0tpk8Dss,Hahah wow suju is very popular overseas,en,Hahah wow suju is very popular overseas,Hahah wow suju popular overseas,Hahah wow suju popular overseas
frok ph!,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,frok ph!,sk,frok ph!,frok ph !,frok ph !
baby...,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,baby...,tl,baby...,baby ...,baby ...
Guatemala is vip,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Guatemala is vip,en,Guatemala is vip,Guatemala vip,Guatemala vip
CEO lee is bias wrecking me and I don't know how to stop it. Help! 😣,2018-06-29 00:00:00+00:00,AZk7RBpeaHM,CEO lee is bias wrecking me and I don't know how to stop it. Help! ,en,CEO lee is bias wrecking me and I don't know how to stop it. Help! !,CEO lee bias wrecking I n't know stop . Help ! !,CEO lee bias wreck I not know stop . help ! !
Seungri will have to find new compliments now and the girls too bcuz the boss will see this. Be funny if all YG artists compliment him on his weight or hair from the 1st floor  to the 7th floor. Seungri will be seeing  the 7th floor with winter clothes on from now on.,2018-07-25 00:00:00+00:00,YZqxolXNC2k,Seungri will have to find new compliments now and the girls too bcuz the boss will see this. Be funny if all YG artists compliment him on his weight or hair from the 1st floor  to the 7th floor. Seungri will be seeing  the 7th floor with winter clothes on from now on.,en,Seungri will have to find new compliments now and the girls too bcuz the boss will see this. Be funny if all YG artists compliment him on his weight or hair from the 1st floor  to the 7th floor. Seungri will be seeing  the 7th floor with winter clothes on from now on.,Seungri find new compliments girls bcuz boss see . Be funny YG artists compliment weight hair 1st floor 7th floor . Seungri seeing 7th floor winter clothes .,seungri find new compliment girl bcuz boss see . be funny YG artist compliment weight hair 1st floor 7th floor . seungri see 7th floor winter clothe .
"Gooooooosh, they included blackpink 😂😂😂😂 . Seungri REALLY WANTS TO BE PART OF THE GROUP 😂😂😂👏",2018-07-31 00:00:00+00:00,-ODTMpRFS5A,"Gooooooosh, they included blackpink  . Seungri REALLY WANTS TO BE PART OF THE GROUP ",en,"Gooooooosh, they included blackpink  . Seungri REALLY WANTS TO BE PART OF THE GROUP ","Gooooooosh , included blackpink . Seungri REALLY WANTS TO BE PART OF THE GROUP","Gooooooosh , include blackpink . seungri REALLY want to be part of the GROUP"
"*NO DOUBT RICHEST MAKNAE IN KPOP👑* 

BUT NOW I NOMINATED HIM AS THE NEW *CEO OF YG* I WANT HIM TO BE NEW CEO I WANT HIM",2018-03-12 00:00:00+00:00,AZk7RBpeaHM,"*NO DOUBT RICHEST MAKNAE IN KPOP* 

BUT NOW I NOMINATED HIM AS THE NEW *CEO OF YG* I WANT HIM TO BE NEW CEO I WANT HIM",en,"*NO DOUBT RICHEST MAKNAE IN KPOP* 

BUT NOW I NOMINATED HIM AS THE NEW *CEO OF YG* I WANT HIM TO BE NEW CEO I WANT HIM",* NO DOUBT RICHEST MAKNAE IN KPOP * BUT NOW I NOMINATED HIM AS THE NEW * CEO OF YG * I WANT HIM TO BE NEW CEO I WANT HIM,* no DOUBT richest MAKNAE in KPOP * but now I nominate he as the NEW * ceo of YG * I want he to be new ceo I want he
Love the choreo and the song!! 😍😍,2018-11-09 00:00:00+00:00,25EQ5hwTxro,Love the choreo and the song!! ,en,Love the choreo and the song!! !,Love choreo song ! ! !,love choreo song ! ! !
this is what happen when big bang leave him all alone lol,2018-10-06 00:00:00+00:00,Q7sHwg2Z21U,this is what happen when big bang leave him all alone lol,en,this is what happen when big bang leave him all alone lol,happen big bang leave alone lol,happen big bang leave alone lol
Maravilhosooooooooo❤❤🇧🇷🇧🇷,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Maravilhosooooooooo,et,Maravilhosoooooooooooo,Maravilhosoooooooooooo,maravilhosoooooooooooo
Lmao me talking to non kpop fans 😂,2018-08-08 00:00:00+00:00,hii0tpk8Dss,Lmao me talking to non kpop fans ,tl,Lmao meloging to non kp fans,Lmao meloging non kp fans,lmao meloging non kp fan
He had good looks and dress well.,2018-03-13 00:00:00+00:00,AZk7RBpeaHM,He had good looks and dress well.,en,He had good looks and dress well.,He good looks dress well .,he good look dress well .
"It's amazing that he came right back to working even if he already has a bunch of money. Yes let's put BigBang seungri away for now And appreciate the inner CEO in him. I wonder if he ever thinks, ""Should I just have gotten a job as an actor because I did a hell of a good job in the last skit we did. My lips touched T.O.P. 's. I lost my dignity. What else do I have to lose?""",2018-03-13 00:00:00+00:00,AZk7RBpeaHM,"It's amazing that he came right back to working even if he already has a bunch of money. Yes let's put BigBang seungri away for now And appreciate the inner CEO in him. I wonder if he ever thinks, ""Should I just have gotten a job as an actor because I did a hell of a good job in the last skit we did. My lips touched T.O.P. 's. I lost my dignity. What else do I have to lose?""",en,"It's amazing that he came right back to working even if he already has a bunch of money. Yes let's put BigBang seungri away for now And appreciate the inner CEO in him. I wonder if he ever thinks, ""Should I just have gotten a job as an actor because I did a hell of a good job in the last skit we did. My lips touched T.O.P. 's. I lost my dignity. What else do I have to lose?""","It 's amazing came right back working even already bunch money . Yes let 's put BigBang seungri away And appreciate inner CEO . I wonder ever thinks , `` Should I gotten job actor I hell good job last skit . My lips touched T.O.P . 's . I lost dignity . What else I lose ? ''","it be amazing come right back work even already bunch money . yes let us put BigBang seungri away and appreciate inner ceo . I wonder ever think , ` ` should I gotten job actor I hell good job last skit . my lip touch T.O.P . 's . I lose dignity . what else I lose ? ''"
But in korea  all is more expensive...  In another country he can bought one palace i though,2018-08-29 00:00:00+00:00,Qo55vEgzvgI,But in korea  all is more expensive...  In another country he can bought one palace i though,en,But in korea  all is more expensive...  In another country he can bought one palace i though,But korea expensive ... In another country bought one palace though,but korea expensive ... in another country buy one palace though
"I am Indonesian, fyi I knew suju from TV, newspaper, Magazine, but I know Bigbang from Internet, then I love both of them. Especially Seungri , its ok, my Panda....",2018-10-29 00:00:00+00:00,hii0tpk8Dss,"I am Indonesian, fyi I knew suju from TV, newspaper, Magazine, but I know Bigbang from Internet, then I love both of them. Especially Seungri , its ok, my Panda....",en,"I am Indonesian, fyi I knew suju from TV, newspaper, Magazine, but I know Bigbang from Internet, then I love both of them. Especially Seungri , its ok, my Panda....","I Indonesian , fyi I knew suju TV , newspaper , Magazine , I know Bigbang Internet , I love . Especially Seungri , ok , Panda ....","I indonesian , fyi I know suju TV , newspaper , Magazine , I know Bigbang Internet , I love . especially Seungri , ok , Panda ...."
"I love, love, LOVE this song!!! Thank you so much for introducing me to this. I think I will have this one on repeat throughout the New Year!  Thanks so much! <3",2018-12-25 00:00:00+00:00,25EQ5hwTxro,"I love, love, LOVE this song!!! Thank you so much for introducing me to this. I think I will have this one on repeat throughout the New Year!  Thanks so much! <3",en,"I love, love, LOVE this song!!! Thank you so much for introducing me to this. I think I will have this one on repeat throughout the New Year!  Thanks so much! <3","I love , love , LOVE song ! ! ! Thank much introducing . I think I one repeat throughout New Year ! Thanks much ! < 3","I love , love , LOVE song ! ! ! thank much introducing . I think I one repeat throughout New Year ! thank much ! < 3"
"Hyun Moo sshi, MALAYSIAN ate RAMYEON TOO OKAY.",2018-03-16 00:00:00+00:00,AZk7RBpeaHM,"Hyun Moo sshi, MALAYSIAN ate RAMYEON TOO OKAY.",en,"Hyun Moo sshi, MALAYSIAN ate RAMYEON TOO OKAY.","Hyun Moo sshi , MALAYSIAN ate RAMYEON TOO OKAY .","Hyun Moo sshi , MALAYSIAN eat RAMYEON TOO okay ."
Aww! My superbigbang heart kyaaa. My boys is still so popular. My two kings!!!!,2018-06-22 00:00:00+00:00,hii0tpk8Dss,Aww! My superbigbang heart kyaaa. My boys is still so popular. My two kings!!!!,tl,Aww! My superbigaga heart kyaa. My boy is still so popular. My two kings!,Aww ! My superbigaga heart kyaa . My boy still popular . My two kings !,aww ! my superbigaga heart kyaa . my boy still popular . my two king !
How nice.. he speak in korean and the sub is korean. Awesome! 😂,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,How nice.. he speak in korean and the sub is korean. Awesome! ,en,How nice.. he speak in korean and the sub is korean. Awesome! !,How nice .. speak korean sub korean . Awesome ! !,how nice .. speak korean sub korean . awesome ! !
Yesss. SAM! So I guessed it correct,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,Yesss. SAM! So I guessed it correct,en,Yesss. SAM! So I guessed it correct,Yesss . SAM ! So I guessed correct,yesss . SAM ! so I guess correct
I miss Big bang,2018-07-17 00:00:00+00:00,hii0tpk8Dss,I miss Big bang,en,I miss Big bang,I miss Big bang,I miss Big bang
Ka perfect ba oy ni Seungri..Kahamis ni Mino. Hahahahahaha,2018-08-01 00:00:00+00:00,-ODTMpRFS5A,Ka perfect ba oy ni Seungri..Kahamis ni Mino. Hahahahahaha,tl,You are perfect by Seungri. Mino's law. Hahahahahaha,You perfect Seungri . Mino 's law . Hahahahahaha,you perfect Seungri . Mino 's law . Hahahahahaha
I kind of feel arrogant and proud now haha She only knows suju! She has amazing taste ☺️,2018-05-30 00:00:00+00:00,hii0tpk8Dss,I kind of feel arrogant and proud now haha She only knows suju! She has amazing taste ,en,I kind of feel arrogant and proud now haha She only knows suju! She has amazing taste ,I kind feel arrogant proud haha She knows suju ! She amazing taste,I kind feel arrogant proud haha she know suju ! she amazing taste
Ya..we to miss bigbang members..especially TOP ❤,2018-06-02 00:00:00+00:00,hii0tpk8Dss,Ya..we to miss bigbang members..especially TOP ,en,Ya..we to miss bigbang members..especially TOP ,Ya .. miss bigbang members .. especially TOP,ya .. miss bigbang member .. especially TOP
Seungri is the most extra idol i have ever seen tbh,2018-09-06 00:00:00+00:00,Jyhy6lnVwyA,Seungri is the most extra idol i have ever seen tbh,en,Seungri is the most extra idol i have ever seen tbh,Seungri extra idol ever seen tbh,seungri extra idol ever see tbh
I love it when Haha laughs like that lol. Last time he did that was when Dahyun was dancing to Gashina.,2018-09-04 00:00:00+00:00,Jyhy6lnVwyA,I love it when Haha laughs like that lol. Last time he did that was when Dahyun was dancing to Gashina.,en,I love it when Haha laughs like that lol. Last time he did that was when Dahyun was dancing to Gashina.,I love Haha laughs like lol . Last time Dahyun dancing Gashina .,I love Haha laugh like lol . last time Dahyun dance Gashina .
Malaysian eats ramyeon,2018-11-29 00:00:00+00:00,AZk7RBpeaHM,Malaysian eats ramyeon,en,Malaysian eats ramyeon,Malaysian eats ramyeon,malaysian eat ramyeon
"Seungri yaaa remember when Big Bang came to Indonesia for ALIVE TOUR in 2012, you guys sold out the ticket in 1 minute and crash the ticketing website 😊😊😊",2018-12-30 00:00:00+00:00,hii0tpk8Dss,"Seungri yaaa remember when Big Bang came to Indonesia for ALIVE TOUR in 2012, you guys sold out the ticket in 1 minute and crash the ticketing website ",en,"Seungri yaaa remember when Big Bang came to Indonesia for ALIVE TOUR in 2012, you guys sold out the ticket in 1 minute and crash the ticketing website ","Seungri yaaa remember Big Bang came Indonesia ALIVE TOUR 2012 , guys sold ticket 1 minute crash ticketing website","seungri yaaa remember Big Bang come Indonesia ALIVE TOUR 2012 , guy sell ticket 1 minute crash ticketing website"
eng sub please,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,eng sub please,en,eng sub please,eng sub please,eng sub please
